,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
38,Data Scientist,$75K-$121K (Glassdoor est.),"Job Description:

Metron is seeking talented Data Scientists for a Data Science Support effort. You will be working directly with a government team to design, implement and analyze the results of data science solutions to the client’s machine learning and data mining problems. The ideal candidate will be a self-starter that enjoys working in teams and grappling with data problems from identifying data requirements to implementing analytics and machine learning solutions.

Required Qualifications:
BS or MS degree in Data Science, Data Analytics, Mathematics or related field
At least two years of industry experience is preferred
Experience in theoretical and practical background in statistical analysis, machine learning, predictive modeling, and/or optimization.
Generate hypotheses, design experiments, gather, review and transform data, and test the hypotheses using modern and statistically rigorous methodologies.
Experience developing in languages commonly used for data analysis such as Python, R, Julia, or SAS
Experience working with databases such as SQL or MongoDB.
Experience working with large-scale data sets.
Experience producing data visualizations.
Excellent verbal and written communications skills
US Citizenship required, successful candidates will be subject to a security investigation and must meet eligibility requirements for access to classified information.

Position Location: Reston, VA

All qualified applicants will receive consideration for employment and will not be discriminated against on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, or protected veteran status. Metron takes affirmative action in support of its policy to employ and advance in employment individuals who are minorities, women, protected veterans, and individuals with disabilities.

VEVRAA Federal Contractor",3.0,"Metron, Inc.
3.0","Reston, VA",-1,51 to 200 Employees,-1,Company - Private,Electrical & Electronic Manufacturing,Manufacturing,$25 to $50 million (USD),-1
39,Data Analyst,$75K-$121K (Glassdoor est.),"ExactCare helps people with chronic conditions and multiple medications overcome daily challenges to living healthier at home. Our solutions include at-home clinical pharmacy support and an easier, safer way to manage medications.

Job Details:

The Data Analyst, an essential part of the Analytics Center reporting directly to the Vice President of Analytics, is responsible for designing and developing ad-hoc analyses and time-sensitive reports to support the needs of the business, including the Sales, Finance, Operations, Compliance, and Marketing Centers of Excellence.

The Data Analyst works closely with business stakeholders and other team members to deliver insightful analysis and critical operational reporting. Gathers requirements, seeks to understand business need, value, and timing. Develops timely solutions that enable the business to take action. Solution development may be tool independent, however common technologies and tools used in this role include SQL & Python (for data manipulation, transformation, and automation), as well as Microsoft Power BI, SSRS, Excel with Power Query & PowerPivot.

Essential Duties & Responsibilities:

Work closely with the Sales, Finance, Operations, Compliance, and Marketing Centers to understand the information needed in order to solve business problems
Map and trace data from system to system to solve a given business or system problem. Document the types and structure of the business data (logical modeling)
Design and create data reports and reporting tools to help partners across the enterprise in their decision making
Write, audit and execute basic to complex levels of SQL or python code
Perform statistical, modeling and data analyses of business data; interpret those data and analyses; and prepare insights for presentation
Deliver timely, data-driven insights that produce actionable business outcomes
Communicate complex analyses and insights to stakeholders and business leaders both verbally and in writing

Requirements:

Bachelors in Computer Science (or related field) with 2+ years of data analysis experience, or 4+ years of experience in data analysis in lieu of the educational requirement
Strong working knowledge of creating and maintaining SQL queries with the ability to automate, extract, and analyze data from relational databases
Ability to programmatically work with data in a variety of formats (JSON, XML, SQL, HTML, Text, etc.)
Proficient with Python – ability to retrieve data via API, web-scraping, flat-file load, and database connection; ability to work with pandas; strong understanding of program control flow; strong experience with producing business-friendly outputs
Advanced Excel skills including (v-look-up, pivot tables, charts, graphing, and macros)
High level of intellectual curiosity with strong desire to deepen knowledge

Preferred Qualifications:

Pharmacy and Healthcare services industry experience preferred
Working knowledge of the following areas is an added advantage
Microsoft Power BI & SSRS
Microsoft Azure ecosystem
Agile development/management methodology
Continuous Integration/Continuous Delivery
GitHub and/or Azure DevOps
Salesforce CRM data experience

ExactCare provides equal employment opportunity to all qualified applicants regardless of race, color, religion, national origin, sex, sexual orientation, gender identity, age, disability, genetic information, or veteran status, or other legally protected classification in the state in which a person is seeking employment. Applicants encouraged to confidentially self-identify when applying. Local applicants encouraged to apply. Drug-free work environment. Must be eligible to work in this country.",3.4,"ExactCare Pharmacy
3.4","Cleveland, OH",-1,201 to 500 Employees,2009,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1
40,Data Scientist,$75K-$121K (Glassdoor est.),"STRATACACHE provides salable customer experiences, empowering retailers to learn deeply about their customers’ shopping preferences and behaviors, allowing for personalized shopper interaction. Our solutions deliver consumer activation at the point-of-decision, generating new sales opportunities and enhanced retail profitability. With 3 million+ software activations globally, we power the biggest digital networks for the world’s largest brands. Across the STRATACACHE family of complementary digital media/ad tech solution companies, we have the technology, expertise and track record to bring retail innovation that delivers results.

Learn more about the STRATACACHE family at www.stratacache.com.

Data Scientist

Do you love data? Do you enjoy creating statistical models and finding insights that make a difference? Are you interested in the future of retail, commerce, and customer analytics? If so, this is the role for you. In this role you will have the opportunity to work with software engineering, sales, and product organizations to develop innovative, impactful data applications. Your efforts will enhance the overall product quality utilizing many aspects of data science, including various types of modeling that drive toward strategic analytics. You will be focused on the future of the restaurant and retail experience by discovering insights while creating strategic, marketing, retail, customer experience and digital analytics. Your background in statistics, data science, big data, normalization, modeling, quantitative research, and/or analytics consulting will be very beneficial as you take on this exciting position in the company and join our Data Science team. In this role you will also have the opportunity to continue to build and improve the marketing of technology products that are influenced by data, understand human behavior and determine how to influence and impact the retail marketplace with exciting new solutions and insights.

Responsibilities include:

Design, build, and deliver statistical models and related actionable data-focused results to support product and customer requirements and initiatives.
Work closely with engineering, product and sales teams to understand business and technical requirements, translate these into important discovery directives, and follow through to optimize and support the enhancement and growth of Stratacache products.
Establish and make effective use of internal and external datasets to back up and support key strategic, product, and customer decision-making efforts.
Serve as the data science expert on cross-functional teams for large strategic initiatives and education on accessing and utilizing qualified and focused data for decision making.
Analyze, propose, design and successfully deliver data experiments for engineering, product and sales teams to ensure statistical rigor and effectiveness.
Provide expertise and professionalism in handling sensitive, privacy-protected data, including sources, structures, organization, and optimization.
Communicate complex ideas about our product through visual aids like charts and dashboards.
Keep up-to-date with emerging data science and statistical technologies, methods and practices.
Create and/or use existing data models for predictions regarding user behavior.
Communicate ideas, processes, and results to all levels of internal and external clients and teams.
Basic & Preferred Qualifications
Bachelor's degree required in Computer Science, Mathematics, Statistics, Quantitative Analysis, or other technical field related to software development.
Minimum 3 years of related experience working with data science and statistical modeling.
Experience in the QSR, retail or ecommerce industries from a data perspective is required.
Experience with recommendation engines and discovering new and advanced modeling methods i.e. deep neural networks, gradient boosted decision trees, etc.. is required.
Experience with SQL and at least one functional or statistical programming language is required.
Minimum of 3 years of related experience working with R and Python is required.
Minimum of 3 years of related experience working with REST APIs is required.
Experience working with Postgres, Timescale DB and/or other related database technologies is required.
Ability to distill complex statistical concepts and methodology, and articulate insights to cross-functional teams and clients with varying levels of knowledge in this space is required.
Ability to work with distributed and remote teams is required.
Experience with complex query writing is required.
Experience with result-set performance tuning and related data administration is required.
Experience with big data technologies is required.
Experience and understanding of various statistical modeling tools and platforms is required.
Experience in ecommerce, wifi, app messaging, social and other datasets is beneficial.
Experience in machine learning and artificial intelligence methods and practice is beneficial.
Understanding and experience with database technologies is beneficial including Oracle, SQLServer, etc..
Understanding and experience with BI technologies is beneficial: Tableau, Microstrategy, Microsoft, OBI, etc..
Experience with kafka, Go, or Redis is beneficial.
Understanding of data modeling techniques and star schemas is beneficial.
Experience with Hadoop and MapReduce is beneficial.
Experience with ftp, file transfers, data exchange methodologies.
A solid understanding of methodology, data and systems from a broad range of research and analytics providers, including emerging tools and methods is required.
Ability to articulate and tie data to business strategy.
Microsoft Excel and PowerPoint skills
Self-motivated, self-starter with a team-centric focus while working in a fluid environment.
Exceptional communication skills: verbal, written, and presentation.
Experience in the following areas: strategic analytics, marketing analytics, digital analytics, data analytics, statistics, data science, big data, normalization, modeling, quant research, analytics consulting.
Desire and interest to uncover and discover insights using disparate data sources.
Desire and interest in being the “Go To” person for data science.
Dynamic personality and passion for data, analytics, visualizations and storytelling is beneficial for this role.
Keen sense of user interface design, style, aesthetics and effective visual presentation.
Experience with agile development methodologies.
Ability to work effectively in fast-paced, results-oriented work environment.
Ability to handle and adjust to change in requirements and direction.
Positive attitude, attention to detail, and great problem solving skills are important.

STRATACACHE and its family of companies provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, creed, sex, sexual orientation, gender identity, national origin, age, disability, genetic information, pregnancy, childbirth or related medical condition, veteran, marital, parental, citizenship, or domestic partner status, or any other status protected by applicable national, federal, state or local law.

While we are excited and appreciate you interest in our opportunities, please keep in mind that we are not able to contact all applicants that have applied.

No vendor/agency solicitation please.",3.5,"STRATACACHE
3.5","Dayton, OH",-1,201 to 500 Employees,1999,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),-1
41,Junior Data Scientist,$75K-$121K (Glassdoor est.),"What Great Looks Like In This Role

Our ideal teammate is someone who is a continuous learner who can adapt and thrive in complex, uncertain and changing situations. Someone who enjoys tackling complex tasks in a collaborative environment is well-suited to a position on our team. Self-motivated individuals comfortable working in a challenging, fast paced, technical environment are highly encouraged to apply!

You Are Able To Demonstrate This Through

A track record of thinking outside the box, taking initiative, and promoting innovation and change-making Ownership, commitment and follow-through in achieving results in school or work projects
Managing priorities effectively and adapting quickly to achieve goals
Pursuing opportunities for continuous learning to develop new skills and perspectives

About the Data Science Development Program

The Data Science Development Program (DSDP) trains junior team members to become well-rounded data scientists within three years. The development program includes high impact project work, mentorship from senior data scientists, in-house training and workshops, and sponsorship for graduate level coursework at the University of Massachusetts Amherst.

Data Science Development Program Highlights:
High-impact project work: Junior data scientists work together with MassMutuals data scientists to solve challenging problems in finance,

operations, marketing, digital initiatives, security, and product development.

Interdisciplinary learning: In the DSDP, junior data scientists are exposed to multiple fields within and adjacent to data science such as data visualization, software engineering, and enterprise architecture.

Mentorship: Peer mentors and senior mentors across data science domains are paired with each member of the DSDP
Training & Development: In-house workshops, tech-talks, seminars, and team-wide learning challenges such as our annual Month of Code

are available to all development program members.

Academic coursework: Members of the DSDP engage in graduate-level courses at the University of Massachusetts Amherst in computer science and statistics according to an individually tailored development plan.

Volunteer & Community Opportunities: Team members have many opportunities to volunteer throughout the year. Junior data scientists volunteer at hackathons throughout the state, attend community data events, speak at external talks, and participate in community data for good efforts annually..

About Us

The MassMutual Data Labs in downtown Amherst consists of a dynamic team that is actively engaged in dozens of high-impact projects across the enterprise, frequently working remotely with teams based in Springfield, MA, New York, and Boston. Our environment and workspace reflects our dedication to innovation and learning, and has a collaborative, start-up vibe. We hold weekly training meetings to present technical ideas, new models, or interesting code libraries.

Junior Data Scientist Duties Include
Statistical analysis
Programming in R and Python
Data ingestion and data cleaning
Model building, testing, deployment, and maintenance Building visualizations
Presenting and explaining output
Executive presentations and discussions
Adherence to internal standards in data science Collaboration across functions and business units

Application Instructions
To finalize your application for consideration, all applicants must submit a portfolio. For instructions, visit https://datascience.massmutual.com/dsdp/apply

We accept applications from early career professionals and graduating students from undergraduate and graduate programs.

Minimum qualifications

Bachelors degree

Academic study or independent training in computational, quantitative, or technical fields, such as computer science, math, physics, or statistics

Working knowledge of Python, R, and SQL
Quantitative and technical skills in math and computer science Community engagement, involvement, and volunteerism Demonstrated leadership and change-making
Strong communication skills

Preferred qualifications

Enthusiastic about pursuing an interdisciplinary career in data science, analytics, and technology Research and/or practical experience in related fields
Demonstrated work experience through part time employment, internships, or professional endeavors

Committed to Diversity and Inclusion

Our employees are the embodiment of the idea that we all are stronger and better through our support for one another. By valuing people for who they are, how they think, and what they bring to the table, weve become a stronger, more innovative company. We continue to receive external recognition for our policies and programs that seek to create a diverse and inclusive environment.

Americas Best Employer for Diversity Forbes (2019)
Score of 100 on the Human Rights Campaign Corporate Equality Index (2019)
National Association for Female Executives Top Company for Executive Women (2018) Disability Equality Index (DEI) Best Place to Work for Disability Inclusion (2019) Diversity Best Practices Inclusion Index Company (2018)",3.7,"MassMutual
3.7","Amherst, MA",-1,5001 to 10000 Employees,1851,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),-1
42,V&S Business Data Analyst,$75K-$121K (Glassdoor est.),"Sony Electronics, Inc. look for the risk-takers, the collaborators, the inspired and the inspirational. We want the people who are brave enough to work at the cutting edge and create solutions that will enrich and improve the lives of people across the globe. So, if you want to make the world say wow, let's talk.

Description
The data analyst will ensure accurate, timely and critical business, financial data submission and provide ongoing reporting
Acquire data from primary or secondary data sources, maintain databases/data systems, review key performance indicators, and prepare required material for forecast / business planning
Develop and implement databases, data collection systems, data analytics and other strategies that optimize business reporting, efficiency and quality
Analyze, identify, and interpret data trends, or patterns in complex data sets
Monitor and ensure Procurement Orders placed each week are adequate and strategic enough to support future market demand
Inventory management, including customer commitments and allocations.
Work with management to prioritize business and information needs
This person will work closely with cross-functional teams and stakeholders including business managers, business planning, and more to facilitate, gain support and carry out business plans, strategies and goals
Locate and define new process improvement opportunities
Minimum Requirements
Bachelor’s degree with concentration in Marketing, Business, Communication, Accounting or Finance is required, and/or equivalent experience
Must possess strong computer skills including Microsoft Office, along with advanced Excel skills and expertise are critical
Strong analytical skills dealing with vast amounts of data and details
Excellent analytical skills and experience managing, and synthesizing vast amounts of data in detail and converting analysis into insights
Strong written, oral communication, interpersonal and negotiation skills
Must be able to effectively collaborate and manage in both a team and cross-functional environment, domestically and globally
Preferred Requirements
3+ years of experience in product management / marketing, finance, business planning or related work experience is highly desired
Sony Electronics is an Equal Opportunity Employer that values employees with a broad cross-cultural perspective. We strive to create an inclusive environment, empower employees and embrace diversity. We encourage everyone to respond. All applicants will receive fair and impartial treatment without regard to race, color, religion, sex, national origin, ancestry, citizenship status, age, legally protected physical or mental disability, protected veteran status, status in the U.S. uniformed services, sexual orientation, gender identity or expression, marital status, genetic information or on any other basis which is protected under applicable federal, state or local law.

Disability Accommodation for Applicants to Sony Electronics, Inc.

Sony Electronics, Inc. provides reasonable accommodation for qualified individuals with disabilities and disabled veterans in job application procedures. For reasonable accommodation requests, please contact us by email at talenthelp@am.sony.com, or you can mail your resume to: Sony Electronics, Human Resources Department, 16535 Via Esprillo, San Diego CA 92127. Please indicate the position you are applying for.",4.0,"Sony Electronics
4.0","San Diego, CA",-1,10000+ Employees,1946,Subsidiary or Business Segment,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion (USD),-1
43,Business Intelligence Analyst,$75K-$121K (Glassdoor est.),"Blucora has a bold aspiration: we are committed to giving all people the tools needed to lead healthy financial lives - tools often reserved for the wealthy.

We began our journey by bringing together two industry-leading firms to form a foundation in tax-smart investing that is unreplaceable in the industry. TaxAct is an innovative tax software company that helps more than 4 million Americans prepare their own taxes each year. HD Vest is the first firm in the world to make it possible for tax professionals to support clients’ wealth management needs (now over $45B for more than 300,000 Americans).

We now turn to the next leg, developing the technological tools that make our vision of financial health for all a reality. Atypical for the financial services industry, we take a contemporary approach to strategy and product development that is founded in user insights, rapid testing and a singular focus on driving end-user value.

Since charting new territory on a daily basis is part of everyone's job at Blucora, we've attracted team members who thrive on the challenge, encourage each other, and are passionately committed to the goal. If you agree that problem- solving is a team sport, and feel energized by a good debate, deep dive research, or a fun night out with colleagues, we might be the right firm for you!

Position Summary

The Business Intelligence Analyst is responsible for measuring performance, analyzing customer behavior and trends, and delivering interactive reports to the business to enhance data-driven decisions.

Essentials Duties & Responsibilities

The major responsibilities of the position are listed below. To perform the job successfully, the individual must be able to execute each essential duty satisfactorily. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
Ability to navigate multiple business lines and draw holistic insights from the tax and wealth management business.
Analyze large data sets of structured, semi-structured unstructured data to discover data insights and collaborate with business partners to deliver business value.
Ability to read and write complex SQL queries for both ad-hoc and dashboard use.
Advanced data visualization (Tableau) and dash-boarding skills to support business decisions, provide recommendations, and evaluate business performance.
Ability to design interactive visualizations that enhance analytics storytelling and communicate business performance.
Prepare and effectively present your findings to business stakeholders, including executive management in a concise fashion.
Support ad hoc business studies/reporting; inform segmentation, territory management, and initiative reporting.
Other job duties as defined.
Education & Experience
Bachelor’s Degree in Business, Management, Accounting, Economics, Statistics, information science, or similar required.
Minimum of 3 years of proven working experience as a data analyst or business data analyst.
Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information.
Required advanced experience using analytics/visualization tools (e.g. Tableau, Google Analytics, Adobe Analytics)
Strong ability to read and write SQL.
Some knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, R, SAS, SPSS, etc.)
Big data analytics experience is desired.
Ability to work independently as well as partner with others and work well within a team.
Strong organizational and time management skills; ability to adhere to deadlines.
Comprehensive Benefits

We offer a competitive salary, outstanding benefits package that includes medical, dental, vision, life insurance, paid vacation and sick days, paid holidays, tuition reimbursement, and 401(k) with company match.

Blucora, Inc is an equal opportunity employer and does not unlawfully discriminate on the basis of race, sex, age, color, religion, national origin, marital status, sexual orientation, veteran status, disability status or any other basis prohibited by federal, state or local law. Blucora, Inc considers information gathered in the hiring process, including information on this application, confidential, and only shares it on a need-to know basis or as required by law. Please let us know if you need accommodations in order to participate in the application process.",3.3,"Blucora
3.3","Dallas, TX",-1,501 to 1000 Employees,1996,Company - Public,Financial Transaction Processing,Finance,$500 million to $1 billion (USD),-1
44,Data Analyst,$75K-$121K (Glassdoor est.),"Big Huge Games is looking for a qualified Data Analyst to help provide data insights to our games teams and upcoming BHG titles to assist them in making successful strategic and game direction decisions. This role works closely with our Product and Design teams to structure quantitative questions, gather player data, employ statistical methodology in analysis of the data, and construct insightful reporting and visualizations to communicate those results to the wider team.

This a full-time position onsite at our studio in Timonium, MD. No telecommuting or remote work options are available.
Due to the circumstances surrounding COVID19 positions may begin remote before transitioning to onsite.

Responsibilities
Provide reports and monitoring tools to assist team in daily game health assessment
Perform in-depth analysis of game metrics to inform and support both short and long-term product direction decisions
Communicate the results of analyses to the product team, game studio, and outside partners through data visualization and presentations
Qualifications
3-5 years experience with querying large complex data sets with SQL on relational databases
Several years experience performing quantitative analysis preferably with a games, web, or technology focus
High level of proficiency in data visualization tools such as Tableau, Excel, or equivalent
Passion for problem solving, from generating insightful questions to research, through presentation of results and follow-on steps
Track record of success working in fast-paced environments with shifting priorities and deadlines
Ability to work in both individual and team settings
Excellent organizational, communication, presentation, and interpersonal skills
Bachelor's degree in Mathematics, Statistics, Economics, Computer Science, or another quantitative field


This a full-time position onsite at our studio in Timonium, MD. No telecommuting or remote work options are available.
Due to the circumstances surrounding COVID19 positions may begin remote before transitioning to onsite.


Applicants should download DomiNations on iOS or Android and be prepared to discuss the game.",4.9,"Big Huge Games
4.9","Timonium, MD",-1,51 to 200 Employees,2013,Subsidiary or Business Segment,Video Games,Media,Unknown / Non-Applicable,-1
45,Data Scientist BSLEF8,$75K-$121K (Glassdoor est.),"E3/Sentinel’s Homeland Security Enterprise (HSE) division is an integrated organizational entity fostering increased collaboration and synergies across the Homeland domain. HSE combines the skills and talents of over 245 (and growing) E3S employees and subcontractor staff supporting multiple components across DHS, including but not limited to: U.S. Customs and Border Protection (CBP), Transportation Security Administration (TSA), U.S. Immigration and Customs Enforcement (ICE), Federal Emergency Management Agency (FEMA), U.S. Coast Guard (USCG), Science and Technology Directorate (S&T), Countering Weapons of Mass Destruction Office (CWMD), Federal Protective Services (FPS), and the DHS Headquarters Management Directorate. Our team provides rapid, innovative and specialized solutions that enable our HSE clients to success at meeting dynamic mission objectives.

Each day U.S. Customs and Border Protection (CBP) oversees the massive flow of people, capital, and products that enter and depart the United States via air, land, sea, and cyberspace. The volume and complexity of both physical and virtual border crossings require the application of “big data” solutions to promote efficient trade and travel. Further, effective “big data” solutions help CBP ensure the movement of people, capital, and products is legal, safe, and secure.
In response to this challenge, E3/Sentinel, as a trusted mission partner of CBP, seeks capable, qualified, and versatile data scientists to help lead the development and delivery of high-quality predictive modelling solutions. Successful applicants will serve as recognized subject matter experts in the application of quantitative methods, machine learning algorithms, and predictive models to address complex national and homeland security challenges. They will help our team to leverage large structured and unstructured datasets to develop and operationalize models, tools, and applications that drive optimized decision making. Project tasks include data collection, mining, data and text analytics, clustering analysis, pattern recognition and extraction, automated classification and categorization, and entity resolution to implement and enhance automated risk assessment. The products we develop provide actionable insight with real and immediate impact on the safety and security of the United States, its citizens, visitors, and economy.

Lead and perform hands-on analysis and modeling involving the creation of intervention hypotheses and experiments, assessment of data needs and available sources, determination of optimal analytical approaches, performance of exploratory data analysis, and feature generation (e.g., identification, derivation, aggregation).
Collaborate with mission stakeholders to define, frame, and scope mission challenges where big data interventions may offer important mitigations and develop robust project plans with key milestones, detailed deliverables, robust work tracking protocols, and risk mitigation strategies.
Demonstrate proficiency in extracting, cleaning, and transforming CBP transactional and mission data associated within an identified problem space to build predictive models as well as develop appropriate supporting documentation.
Leverage expert knowledge of a variety of statistical and machine learning techniques and methods to define and develop programming algorithms; train, evaluate, and deploy predictive analytics models that directly inform mission decisions.
Execute projects including those intended to identify patterns and/or anomalies in large datasets; perform automated text/data classification and categorization as well as entity recognition, resolution and extraction; and named entity matching.
Brief project management, technical design, and outcomes to both technical and non-technical audiences including senior government stakeholders throughout the model development/ project lifecycle through written as well as in-person reporting.

Bachelor’s Degree (required), Master’s or Ph.D. degree (preferred) in operations research, industrial engineering, mathematics, statistics, computer science/engineering, or other related technical fields with equivalent practical experience
Significant experience in developing machine learning models and applying advanced analytics solutions to solve complex business problems.
Proficiency with statistical software packages: SAS, SPSS Modeler, R, WEKA, or equivalent.
Experience with programming languages: R, Python, Scala, Java, SQL, or equivalent.
Experience constructing and executing queries to extract data in support of EDA and model development.
Experience with unsupervised and supervised machine learning techniques and methods.
Experience working with large-scale (e.g., terabyte and petabyte) unstructured and structured data sets and databases.
Experience performing data mining, analysis, and training set construction.
Completed CBP Background Investigation clearance (active or re-instate-able)

Experience with big data technologies (e.g., Hadoop, HIVE, HDFS, HBase, MapReduce, Spark, Kafka, Sqoop).
Proficiency with Unsupervised Machine Learning methods including Cluster Analysis (e.g., K-means, K-nearest Neighbor, Hierarchical, Deep Belief Networks, Principal Component Analysis), Segmentation, etc.
Proficiency with Supervised Machine Learning methods including Decision Trees, Support Vector Machines, Logistic Regression, Random/Rotation Forests, Categorization/Classification, Neural Nets, Bayesian Networks, etc.
Experience with pattern recognition and extraction, automated classification, categorization, and entity resolution (e.g., record linking, named-entity matching, deduplication/ disambiguation).
Experience working in a team and deploying solutions in an iterative or agile/DevOps continuous integration and delivery environment using lifecycle management methods and tools.
Experience with visualization tools and techniques (e.g., Periscope, Business Objects, D3, ggplot, Tableau, SAS Visual Analytics, PowerBI).

E3/Sentinel is an equal opportunity employer and Vietnam Era Veterans Readjustment Assistance Act (VEVRAA) federal contractor. All qualified applicants receive consideration for employment without regard to race, color, religion, gender, national origin, age, sexual orientation, gender identity, protected veteran status, or status as a qualified individual with a disability. E3/Sentinel hires and promotes individuals solely on the basis of their qualifications for the job to be filled.",4.4,"E3 Federal Solutions
4.4","Alexandria, VA",-1,501 to 1000 Employees,2004,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,-1
46,"Data Scientist, Machine Learning",$75K-$121K (Glassdoor est.),"Job Description

At Shipt, we are transforming the grocery shopping experience and giving time back to consumers. Shipt shoppers handpick fresh groceries and household essentials, then deliver them to your door in as little as one hour.

Shipt is growing and we are searching for a Data Scientist, Machine Learning to join our team! At Shipt, we're using machine learning (ML) and analytics to drive our business forward. We're looking for help understanding our data, optimizing our processes, and making predictions to improve our product and customer experience.

The data science team builds data driven solutions using machine learning and modeling techniques. Our solutions include predictive models, clustering, segmentation, complex reporting, and quantitative research. Our ideal candidate will be data-driven, intellectually curious, and a clear communicator with experience building machine learning models.

What You'll Gain
You will get experience working with a cross-disciplinary team shipping real-world products to our customers around the nation. You will also receive hands-on mentorship from your friendly teammates on topics ranging from design to career advice

Your Responsibilities
Develop a thorough understanding of our data and interpret them as they relate to shopper behavior, search performance, profitability, and product development
Build predictive models and optimization routines to capture opportunities and solve problems. Applications include modeling demand in a given market, delivering search recommendations, and optimizing internal processes
Collaborate with other members of the Data Science and engineering teams on ways to approach problems, augment code, and share new techniques
Work with functional team leaders (in Product, Operations, Marketing, etc.) to explain your analysis, findings, and recommendations
Find opportunities for improvement across the business and assist in decision-making across teams
Stay abreast of developments in the field and contribute to its advancement
Requirements
At least 2 years of experience with machine learning, predictive modeling, and/or optimization techniques
High degree of proficiency with one of R or Python
Proficiency with SQL
Experience with a data visualization tool (Tableau, Chartio, Looker, Spotfire, Power BI, etc.)
Experience with cloud computing services or platforms
Comfortable giving verbal presentations and communicating with technologies like Zoom and Slack
Bachelor's degree in a quantitative field or related experience
Nice to Haves
Experience deploying predictive models in a cloud environment
Experience with batch processing framework
Familiarity with AWS, version control, and peer code review systems
Familiarity with on-demand and/or multi-sided marketplaces
Proficiency in both R and Python
We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.",3.6,"Shipt
3.6","Birmingham, AL",-1,1001 to 5000 Employees,2014,Subsidiary or Business Segment,Consumer Product Rental,Consumer Services,Unknown / Non-Applicable,-1
47,"Data Scientist, Cloud Business Operations",$75K-$121K (Glassdoor est.),"53303

About NetApp

NetApp provides software, systems, and services to manage, store and share data via on-premises, and private and public clouds to customers worldwide. NetApp is emerging as a leader in providing public cloud services on all major cloud platforms, including Amazon Web Services (AWS), Microsoft , and Google Cloud Platform (GCP). These cloud services, such as Cloud Volumes; Cloud Insights, Virtual Desktop Service, Global File Cache, SaaS backup, and Spot, avails customers to consider many more options on how and where to manage their critical workloads and data for optimal business and financial outcomes. The NetApp Public Cloud Services business unit is at the forefront of our effort to transform NetApp into a leader in the cloud market.
Job Summary
About the Position

This Cloud Business Operations Data Scientist will be the primary go to person for all of NetApp Public Cloud Services needs for analyzing tons of cloud services usage and billing data to derive intelligent business insights for enabling NetApp’s highest growth business. This person will be an expert in both understanding the data, as well as architecting and developing business logic and code to deliver automation in business intelligence. This is a highly technical role with deep understanding of Azure programming, R, SQL databases, visualization on Tableau, and scripting, along with years of experience in cloud services business operations. Knowledge of public cloud-based transactions on the top 3 cloud provider marketplaces (AWS, Azure and GCP) is a must, along with experience and understanding of integrations with internal systems for CRM, CPQ, Subscriptions Billing and Finance.

This role will coordinate with product management, IT and operations, and other NetApp functions including sales, marketing, and finance to understand, analyze and improve product pricing, SKU design, and transaction processing of our existing cloud offerings and upcoming innovations. This role will also act as the primary operations liaison between product management teams and business operations. The right person for this role has deep understanding of public cloud marketplace transaction processing, billing, metering, and revenue/usage reporting. This person also has extensive experience in dealing with cross-functional business requirements and engaging with key stakeholders at both the executive/VP level and with delivery teams.
Job Requirements
Key Responsibilities
Analyze usage and billing data from multiple sources to derive business intelligence
Develop business logic and write code to automate BI output
Design and develop visualization dashboards in Tableau
Understand public cloud marketplace transaction processes and provide guidance to business operations teams on implementation best practices
Leverage business insights to provide guidance to product management for pricing and transaction processing design
Skills and Qualifications
10+ years of experience working with various cloud providers, software vendors and/or consulting organizations
5+ years of experience in data analysis and business insights
5+ years of experience in Azure programming, R, SQL databases and Tableau
Understanding of enterprise cloud solutions and related technical offerings
Collaborative personality; comfortable working across many functions and teams, and engaging with senior executives
A creative go-getter who is full of ideas and can execute on those ideas in a fast-paced, demanding environment with excellent interpersonal and social skills
A bachelor’s degree in engineering or science is required. A master’s degree is data science, data analysis or statistics is preferred.
Travel Required

20% (includes domestic and int.)
Education
A bachelor’s degree in engineering or science is required. A master’s degree is data science, data analysis or statistics is preferred.

Nearest Major Market: San Jose
Nearest Secondary Market: Palo Alto
Job Segment:
Operations Manager, Scientific, Database, Cloud, Operations, Engineering, Technology

Apply now »",3.8,"NetApp
3.8","Sunnyvale, CA",-1,10000+ Employees,1992,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 billion (USD),-1
